condition,feature,train_fragment,test_fragment,auc,balanced_accuracy,same_fragment,same_scroll
paganin_db5000,depth_gradient_mag,frag3,frag2,0.7029,0.5,False,False
paganin_db5000,depth_gradient_mag,frag3,frag3,0.7506,0.5018,True,True
paganin_db5000,max_depth_gradient,frag1,frag1,0.8234,0.5098,True,True
paganin_db5000,max_depth_gradient,frag1,frag2,0.715,0.4998,False,True
paganin_db5000,max_depth_gradient,frag1,frag3,0.7495,0.508,False,False
paganin_db5000,max_depth_gradient,frag2,frag1,0.8234,0.517,False,True
paganin_db5000,max_depth_gradient,frag2,frag2,0.715,0.4998,True,True
paganin_db5000,max_depth_gradient,frag2,frag3,0.7495,0.5074,False,False
paganin_db5000,max_depth_gradient,frag3,frag1,0.8234,0.5019,False,False
paganin_db5000,max_depth_gradient,frag3,frag2,0.715,0.4995,False,False
paganin_db5000,max_depth_gradient,frag3,frag3,0.7495,0.5001,True,True
paganin_db5000,depth_variance,frag1,frag1,0.8027,0.5104,True,True
paganin_db5000,depth_variance,frag1,frag2,0.6958,0.499,False,True
paganin_db5000,depth_variance,frag1,frag3,0.7453,0.5028,False,False
paganin_db5000,depth_variance,frag2,frag1,0.8027,0.5098,False,True
paganin_db5000,depth_variance,frag2,frag2,0.6958,0.4989,True,True
paganin_db5000,depth_variance,frag2,frag3,0.7453,0.5029,False,False
paganin_db5000,depth_variance,frag3,frag1,0.8027,0.5051,False,False
paganin_db5000,depth_variance,frag3,frag2,0.6958,0.4991,False,False
paganin_db5000,depth_variance,frag3,frag3,0.7453,0.5036,True,True
paganin_db5000,depth_range,frag1,frag1,0.8117,0.5073,True,True
paganin_db5000,depth_range,frag1,frag2,0.7059,0.4991,False,True
paganin_db5000,depth_range,frag1,frag3,0.7482,0.5046,False,False
paganin_db5000,depth_range,frag2,frag1,0.8117,0.5094,False,True
paganin_db5000,depth_range,frag2,frag2,0.7059,0.4996,True,True
paganin_db5000,depth_range,frag2,frag3,0.7482,0.5058,False,False
paganin_db5000,depth_range,frag3,frag1,0.8117,0.5016,False,False
paganin_db5000,depth_range,frag3,frag2,0.7059,0.499,False,False
paganin_db5000,depth_range,frag3,frag3,0.7482,0.5004,True,True
